Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Rwanda,RWA,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Rwanda,RWA,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Rwanda,RWA,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Rwanda,RWA,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Rwanda,RWA,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Rwanda,RWA,2015,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,0
Rwanda,RWA,2000,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,0
Rwanda,RWA,1990,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,0
Rwanda,RWA,2023,Forest area (sq. km),AG.LND.FRST.K2,2790
Rwanda,RWA,2022,Forest area (sq. km),AG.LND.FRST.K2,2780
Rwanda,RWA,2021,Forest area (sq. km),AG.LND.FRST.K2,2770
Rwanda,RWA,2020,Forest area (sq. km),AG.LND.FRST.K2,2760
Rwanda,RWA,2019,Forest area (sq. km),AG.LND.FRST.K2,2750
Rwanda,RWA,2018,Forest area (sq. km),AG.LND.FRST.K2,2740
Rwanda,RWA,2017,Forest area (sq. km),AG.LND.FRST.K2,2730
Rwanda,RWA,2016,Forest area (sq. km),AG.LND.FRST.K2,2720
Rwanda,RWA,2015,Forest area (sq. km),AG.LND.FRST.K2,2700
Rwanda,RWA,2014,Forest area (sq. km),AG.LND.FRST.K2,2690
Rwanda,RWA,2013,Forest area (sq. km),AG.LND.FRST.K2,2680
Rwanda,RWA,2012,Forest area (sq. km),AG.LND.FRST.K2,2670
Rwanda,RWA,2011,Forest area (sq. km),AG.LND.FRST.K2,2660
Rwanda,RWA,2010,Forest area (sq. km),AG.LND.FRST.K2,2650
Rwanda,RWA,2009,Forest area (sq. km),AG.LND.FRST.K2,2672
Rwanda,RWA,2008,Forest area (sq. km),AG.LND.FRST.K2,2694
Rwanda,RWA,2007,Forest area (sq. km),AG.LND.FRST.K2,2716
Rwanda,RWA,2006,Forest area (sq. km),AG.LND.FRST.K2,2738
Rwanda,RWA,2005,Forest area (sq. km),AG.LND.FRST.K2,2760
Rwanda,RWA,2004,Forest area (sq. km),AG.LND.FRST.K2,2782
Rwanda,RWA,2003,Forest area (sq. km),AG.LND.FRST.K2,2804
Rwanda,RWA,2002,Forest area (sq. km),AG.LND.FRST.K2,2826
Rwanda,RWA,2001,Forest area (sq. km),AG.LND.FRST.K2,2848
Rwanda,RWA,2000,Forest area (sq. km),AG.LND.FRST.K2,2870
Rwanda,RWA,1999,Forest area (sq. km),AG.LND.FRST.K2,2900
Rwanda,RWA,1998,Forest area (sq. km),AG.LND.FRST.K2,2930
Rwanda,RWA,1997,Forest area (sq. km),AG.LND.FRST.K2,2960
Rwanda,RWA,1996,Forest area (sq. km),AG.LND.FRST.K2,2990
Rwanda,RWA,1995,Forest area (sq. km),AG.LND.FRST.K2,3020
Rwanda,RWA,1994,Forest area (sq. km),AG.LND.FRST.K2,3050
Rwanda,RWA,1993,Forest area (sq. km),AG.LND.FRST.K2,3080
Rwanda,RWA,1992,Forest area (sq. km),AG.LND.FRST.K2,3110
Rwanda,RWA,1991,Forest area (sq. km),AG.LND.FRST.K2,3140
Rwanda,RWA,1990,Forest area (sq. km),AG.LND.FRST.K2,3170
Rwanda,RWA,2023,Forest area (% of land area),AG.LND.FRST.ZS,11.3092825293879
Rwanda,RWA,2022,Forest area (% of land area),AG.LND.FRST.ZS,11.2687474665586
Rwanda,RWA,2021,Forest area (% of land area),AG.LND.FRST.ZS,11.2282124037292
Rwanda,RWA,2020,Forest area (% of land area),AG.LND.FRST.ZS,11.1876773408999
Rwanda,RWA,2019,Forest area (% of land area),AG.LND.FRST.ZS,11.1471422780705
Rwanda,RWA,2018,Forest area (% of land area),AG.LND.FRST.ZS,11.1066072152412
Rwanda,RWA,2017,Forest area (% of land area),AG.LND.FRST.ZS,11.0660721524118
Rwanda,RWA,2016,Forest area (% of land area),AG.LND.FRST.ZS,11.0255370895825
Rwanda,RWA,2015,Forest area (% of land area),AG.LND.FRST.ZS,10.9444669639238
