REF_AREA,INDICATOR,SEX,AGE,AGE_AT_BIRTH,WEALTH_QUINTILE,RESIDENCE,MOTHER_EDUCATION,DATA_SOURCE,UNIT_MULTIPLIER,UNIT_MEASURE,SERIES_FOOTNOTE,SUB_SECTOR,TIME_PERIOD,OBS_VALUE,SOWC_FLAG_A,DATA_SOURCE_PRIORITY,OBS_STATUS,OBS_CONF,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,UNWGTD_SAMPL_SIZE,OBS_FOOTNOTE,SOURCE_LINK,TIME_PERIOD_METHOD,COVERAGE_TIME
ECU,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_765,0,PCNT,,FAMILY_PLANNING,2012,79.4,,1,RP,F,,,,,,,EOF,
NIC,MNCH_DEMAND_FP,_T,Y15T19,_T,_T,_T,_T,MNCH_SRC_2909,0,PCNT,,FAMILY_PLANNING,2012,86.6,,1,RP,F,,,,,,"United Nations Department of Economic and Social Affairs, Population Division (2024). World Contraceptive Use 2024",EOF,
TJK,MNCH_DEMAND_FP,_T,Y15T19,_T,_T,_T,_T,MNCH_SRC_2911,0,PCNT,,FAMILY_PLANNING,2017,17.6,,1,RP,F,,,,,,"United Nations Department of Economic and Social Affairs, Population Division (2024). World Contraceptive Use 2024",EOF,
MOZ,MNCH_DEMAND_FP,_T,Y15T19,_T,_T,_T,_T,MNCH_SRC_2911,0,PCNT,,FAMILY_PLANNING,2023,30,,1,RP,F,,,,,,"United Nations Department of Economic and Social Affairs, Population Division (2024). World Contraceptive Use 2024",EOF,
LKA,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_2014,0,PCNT,,FAMILY_PLANNING,2006,69.4,,1,RP,F,,,,,,,EOF,
LKA,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_2012,0,PCNT,,FAMILY_PLANNING,2000,56.2,,1,RP,F,,,,,,,EOF,
LKA,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_2017,0,PCNT,,FAMILY_PLANNING,2016,74.3,,1,RP,F,,,,,,,EOF,
COL,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_531,0,PCNT,,FAMILY_PLANNING,2000,73.3,,1,RP,F,,,,,,,EOF,
MRT,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1429,0,PCNT,,FAMILY_PLANNING,2000,13.5,,1,RP,F,,,,,,,EOF,
MRT,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1432,0,PCNT,,FAMILY_PLANNING,2007,23.6,,1,RP,F,,,,,,,EOF,
UNICEF_SSA,MNCH_DEMAND_FP,_T,Y15T19,_T,_T,_T,_T,MNCH_SRC_2918,0,PCNT,,FAMILY_PLANNING,2023,42.5,,1,RA,F,,,,,,,EOF,
LSO,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1285,0,PCNT,,FAMILY_PLANNING,2009,67.5,,1,RP,F,,,,,,,EOF,
LSO,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1282,0,PCNT,,FAMILY_PLANNING,2004,55.2,,1,RP,F,,,,,,,EOF,
LSO,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1286,0,PCNT,,FAMILY_PLANNING,2014,78.9,,1,RP,F,,,,,,,EOF,
LSO,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1288,0,PCNT,,FAMILY_PLANNING,2018,82.8,,1,RP,F,,,,,,,EOF,
AUREC_IGAD,MNCH_DEMAND_FP,_T,Y15T19,_T,_T,_T,_T,MNCH_SRC_2918,0,PCNT,,FAMILY_PLANNING,2023,56.6,,1,RA,F,,,,,,,EOF,
MAR,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1494,0,PCNT,,FAMILY_PLANNING,2003,73.2,,1,RP,F,,,,,,,EOF,
BLZ,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_272,0,PCNT,,FAMILY_PLANNING,2015,64.9,,1,RP,F,,,,,,,EOF,
BLZ,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_268,0,PCNT,,FAMILY_PLANNING,2011,73.1,,1,RP,F,,,,,,,EOF,
EGY,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_768,0,PCNT,,FAMILY_PLANNING,2000,77.2,,1,RP,F,,,,,,,EOF,
MAR,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1499,0,PCNT,,FAMILY_PLANNING,2010,74.8,,1,RP,F,,,,,,,EOF,
